STATE,YEAR,HSS,CPE,IIM,HD,CM,EOH
AK,2013,6.800000191,4.599999905,7,3.299999952,2.900000095,5.099999905
AL,2013,7.199999809,3.799999952,7.400000095,4.300000191,5.599999905,5.400000095
AR,2013,7.400000095,4,8.5,4.900000095,5.5,5.099999905
AZ,2013,7.300000191,4.5,7.900000095,3.5,4.400000095,5.699999809
CA,2013,6.900000095,4.400000095,8.600000381,4.199999809,4.300000191,7.199999809
CO,2013,6.300000191,5,8.899999619,4.699999809,5.5,7.099999905
CT,2013,8.100000381,6.199999809,7.199999809,5.099999905,5.900000095,6.5
DC,2013,7.300000191,6.199999809,8.100000381,5.199999809,6.800000191,6.099999905
DE,2013,6.699999809,5.5,7.5,4.699999809,4.900000095,6
FL,2013,8,4,8.199999809,4.400000095,4.599999905,7.199999809
GA,2013,7,3.400000095,8,4.199999809,4.800000191,4.900000095
HI,2013,8.199999809,5,7,4.900000095,5.5,6.199999809
IA,2013,8,4.400000095,9.199999809,4.599999905,7.300000191,7
ID,2013,7.099999905,5.199999809,7.900000095,4.099999905,4.699999809,6.699999809
IL,2013,7.599999905,4.400000095,8.100000381,4.900000095,5.300000191,5.800000191
IN,2013,8.100000381,4.199999809,8.5,4.800000191,5.599999905,6.5
KS,2013,7.599999905,4.5,7.699999809,4.699999809,6.400000095,6.5
KY,2013,8,4.300000191,8.399999619,4.699999809,5.800000191,6.5
LA,2013,7.099999905,4.400000095,7.800000191,3.900000095,5.099999905,6
MA,2013,8.300000191,5.400000095,8,4.900000095,6.199999809,5.699999809
MD,2013,7.699999809,4.800000191,8.800000191,5.699999809,5.900000095,7.699999809
ME,2013,7.699999809,5.599999905,7.400000095,5.300000191,6.599999905,7.5
MI,2013,8.800000191,5.400000095,8.100000381,4.900000095,5.699999809,6.5
MN,2013,7.900000095,4.900000095,7.5,5.300000191,6.099999905,6.800000191
MO,2013,8.399999619,4.199999809,8.600000381,5.099999905,6.699999809,5.800000191
MS,2013,6.400000095,3.099999905,8.300000191,4.300000191,3.799999952,5.199999809
MT,2013,6.699999809,2.900000095,7.199999809,3.799999952,6.099999905,5.900000095
NC,2013,7.099999905,3.700000048,9.100000381,4.699999809,6.199999809,6.300000191
ND,2013,7.400000095,5.800000191,7.599999905,5.099999905,6.099999905,5.900000095
NE,2013,8.699999809,5.5,8.600000381,4.699999809,6.5,6.599999905
NH,2013,6.599999905,4.099999905,7.599999905,6,6.699999809,7.099999905
NJ,2013,7.800000191,4.099999905,7.900000095,5.300000191,5.699999809,6.300000191
NM,2013,8.899999619,3.200000048,7.800000191,3.900000095,4.800000191,6.300000191
NV,2013,7.199999809,4.099999905,8,3.700000048,3.799999952,6.699999809
NY,2013,7.699999809,5.099999905,7.900000095,4.800000191,5.5,7.099999905
OH,2013,6.199999809,4.599999905,8,4.5,5.800000191,5
OK,2013,7.400000095,4.400000095,7.900000095,4.5,6,6.199999809
OR,2013,7.5,5.099999905,7.599999905,4.099999905,5.900000095,6.099999905
PA,2013,7.199999809,4.400000095,8.199999809,5.5,5.900000095,4.599999905
RI,2013,7,6.199999809,8,5.900000095,6.099999905,5.599999905
SC,2013,7.5,3.5,9.100000381,5,6.099999905,6.400000095
SD,2013,7.599999905,4,7.400000095,4.699999809,6.800000191,5.900000095
TN,2013,6.800000191,4.699999809,8.899999619,4.199999809,6.400000095,6.300000191
TX,2013,8.600000381,4.400000095,7.599999905,3.799999952,5.699999809,6.5
UT,2013,7.800000191,5.5,9.399999619,4.300000191,4.900000095,6.300000191
VA,2013,7.800000191,4.300000191,9.300000191,5.099999905,5.400000095,7.5
VT,2013,8.600000381,4.900000095,8.800000191,5.800000191,6.300000191,6.800000191
WA,2013,8.199999809,5.699999809,7.400000095,3.900000095,5.199999809,7.099999905
WI,2013,7.900000095,4,7.900000095,4.900000095,6.199999809,7.300000191
WV,2013,6.599999905,3.400000095,7.199999809,5.099999905,6.699999809,5.099999905
WY,2013,7.699999809,2.5,7.199999809,4.400000095,5.400000095,4.199999809
AK,2014,7.699999809,4.199999809,7.400000095,3.400000095,3.5,5
AL,2014,7.599999905,4.099999905,7.5,4.300000191,5.699999809,5.300000191
AR,2014,7.800000191,3.900000095,8.600000381,5,6.199999809,5.5
AZ,2014,7.699999809,4,8.199999809,3.599999905,4.599999905,5.5
CA,2014,7.400000095,5,8.800000191,4.300000191,4.599999905,7.099999905
CO,2014,6.5,5.800000191,9,4.699999809,5.900000095,6.900000095
CT,2014,7.699999809,5.900000095,7.300000191,5.199999809,5.900000095,6.5
DC,2014,7.300000191,6.400000095,8.300000191,5.599999905,7.400000095,6.199999809
DE,2014,7.900000095,5.099999905,7.699999809,4.599999905,5.300000191,5.599999905
FL,2014,8.600000381,5.199999809,8.199999809,4.599999905,4.800000191,7.199999809
GA,2014,8,3.5,8.100000381,4.199999809,4.800000191,5
HI,2014,8.100000381,4.800000191,7.199999809,4.900000095,5.400000095,6.300000191
IA,2014,8.699999809,4.699999809,9.399999619,4.599999905,7.699999809,6.900000095
ID,2014,7.599999905,5.199999809,8,4.099999905,4.5,6.599999905
IL,2014,7.400000095,4.199999809,8.300000191,4.900000095,5.300000191,6
IN,2014,9.100000381,4,8.600000381,4.800000191,5.800000191,6.5
KS,2014,8,4.400000095,7.900000095,4.900000095,7,6.300000191
KY,2014,8.800000191,4.400000095,8.5,4.800000191,5.800000191,6.5
LA,2014,8,4.5,8,3.900000095,4.900000095,5.800000191
MA,2014,8.5,5.599999905,8.199999809,4.900000095,6.199999809,5.800000191
MD,2014,7.800000191,4.800000191,8.899999619,5.800000191,5.900000095,7.699999809
